,app_id,app_name,neg,pos,steam_score,wilson
400,438270,Learn Japanese To Survive - Hiragana Battle,45,881,95.14%,93.30%
401,460850,Allumette,11,301,96.47%,93.30%
402,284790,Nightmares from the Deep 2: The Siren`s Call,19,444,95.90%,93.29%
403,466300,Planescape: Torment: Enhanced Edition,10,282,96.58%,93.29%
404,238070,Shadow Warrior Classic (1997),39,780,95.24%,93.28%
405,310080,Hatoful Boyfriend,282,"4,490",94.09%,93.28%
406,17520,Synergy,209,"3,396",94.20%,93.27%
407,285310,RollerCoaster Tycoon: Deluxe,132,"2,233",94.42%,93.26%
408,252610,Death Road to Canada,75,"1,350",94.74%,93.25%
409,7760,X-COM: UFO Defense,101,"1,751",94.55%,93.24%
410,95400,ibb & obb,101,"1,748",94.54%,93.23%
411,476240,KNIGHTS,10,279,96.54%,93.23%
412,398710,Timberman,282,"4,455",94.05%,93.23%
413,204530,Infested Planet,81,"1,435",94.66%,93.21%
414,274500,Brigador: Up-Armored Edition,48,917,95.03%,93.21%
415,24240,PAYDAY: The Heist,"2,346","33,725",93.50%,93.20%
416,255390,Max: The Curse of Brotherhood,41,803,95.14%,93.20%
417,2270,Wolfenstein 3D,67,"1,214",94.77%,93.19%
418,261820,Estranged: Act I,343,"5,310",93.93%,93.18%
419,375480,Chronicon,24,521,95.60%,93.18%
420,233980,Unepic,315,"4,898",93.96%,93.17%
421,588690,"Peace, Death!",15,365,96.05%,93.15%
422,552590,The Sexy Brutale,13,330,96.21%,93.15%
423,639790,Deep Space Waifu,9,257,96.62%,93.14%
424,270210,Melody's Escape,215,"3,414",94.08%,93.13%
425,227080,Papo & Yo,131,"2,171",94.31%,93.13%
426,388880,Oxenfree,243,"3,821",94.02%,93.13%
427,47810,Dragon Age: Origins - Ultimate Edition,491,"7,385",93.77%,93.13%
428,387340,Hyperdimension Neptunia U: Action Unleashed,104,"1,760",94.42%,93.11%
429,284390,The Last Door - Collector's Edition,43,824,95.04%,93.11%
430,252950,Rocket League,"10,334","142,953",93.26%,93.11%
431,20540,Company of Heroes: Tales of Valor,65,"1,167",94.72%,93.11%
